_id,name,country,aqi,pm25,pm10,no2,co,o3,so2,humidity,temperature,wind,update_time,lat,lon,saved_at,population,area
67f22f3ef12f56994b13fc92,Quảng Bình,Vietnam,53,53,34,113,4,7,3,80.2,23.4,3,2025-04-06 14:00:00,17.4656,106.6222,14:37 06/04/2025,,
67f22f3ef12f56994b13fc99,Long An,Vietnam,45,45,22,4,0,13,0,N/A,N/A,N/A,2025-04-06 14:00:00,10.5333,106.4167,14:37 06/04/2025,,
67f22f3ef12f56994b13fc95,Vũng Tàu,Vietnam,23,23,18,5,2,18,4,56,33.8,3,2025-04-06 14:00:00,10.346,107.0843,14:37 06/04/2025,,
67f22f3ef12f56994b13fc93,Trà Vinh,Vietnam,52,52,34,23,7,25,8,N/A,N/A,N/A,2025-04-06 14:00:00,9.9472,106.342,14:37 06/04/2025,,
67f22f3ef12f56994b13fc97,Cần Thơ,Vietnam,31,N/A,31,44,1,3,N/A,59,33,4.3,2025-04-06 13:00:00,10.0452,105.7469,14:37 06/04/2025,,
67f22f3ef12f56994b13fc94,Bình Dương,Vietnam,32,16,32,3,0,10,0,N/A,N/A,N/A,2025-04-06 14:00:00,11.3254,106.477,14:37 06/04/2025,,
67f22f3ef12f56994b13fc9a,Thanh Hoá,Vietnam,31,31,19,N/A,2,N/A,23,82.2,22.8,1,2025-04-06 14:00:00,19.807,105.776,14:37 06/04/2025,,
67f22f3ef12f56994b13fc9e,Thừa Thiên Huế,Vietnam,25,25,17,6,7,3,25,94,23,2.8,2025-04-06 13:00:00,16.4667,107.5833,14:37 06/04/2025,,
67f22f3ef12f56994b13fc9f,Gia Lai,Vietnam,52,40,52,93,18,2,52,N/A,-20.6,41.5,2025-04-06 12:00:00,13.9833,108,14:37 06/04/2025,,
67f22f3ef12f56994b13fc9d,Quảng Ninh,Vietnam,56,56,37,12,N/A,6,3,80.5,23.5,3.6,2025-04-06 14:00:00,20.9511,107.0789,14:37 06/04/2025,,
67f22f3ef12f56994b13fca0,Hưng Yên,Vietnam,106,106,68,2,0,12,1,N/A,N/A,N/A,2025-04-06 14:00:00,20.6464,106.0511,14:37 06/04/2025,,
